age,year_id,a,b,k,lower,upper,fit,mx,age_group_name,sex
0,1980,-4.72074810991409,0.0675032841484211,5.84517476164954,,,0.0132179487784008,0.014483632,<1 year,Male
0,2032,-4.72074810991409,0.0675032841484211,-8.39639600215139,0.00391014177678767,0.00653303814354015,0.00505421659353888,,<1 year,Male
0,1982,-4.72074810991409,0.0675032841484211,4.67309017018733,,,0.0122124521919236,0.013121733,<1 year,Male
0,2009,-4.72074810991409,0.0675032841484211,-3.97972598095387,,,0.00680979893895379,0.006980967,<1 year,Male
0,1984,-4.72074810991409,0.0675032841484211,3.94465066209998,,,0.0116264659131343,0.012334286,<1 year,Male
0,1986,-4.72074810991409,0.0675032841484211,3.96559891125724,,,0.0116429182447528,0.012124405,<1 year,Male
0,2038,-4.72074810991409,0.0675032841484211,-10.0729198825688,0.00331484296498242,0.00614533796938401,0.00451340562494132,,<1 year,Male
0,2015,-4.72074810991409,0.0675032841484211,-4.5900106610786,,,0.00653496097370292,0.006493625,<1 year,Male
0,2040,-4.72074810991409,0.0675032841484211,-10.631762146834,0.00314308162877152,0.00601016911240876,0.00434631477495844,,<1 year,Male
0,2017,-4.72074810991409,0.0675032841484211,-4.38228413926725,,,0.00662724112440101,0.006313812,<1 year,Male
0,1992,-4.72074810991409,0.0675032841484211,2.33027149561041,,,0.0104260569431442,0.009629279,<1 year,Male
0,2019,-4.72074810991409,0.0675032841484211,-4.80493945541869,0.00603610322745279,0.00687270183183318,0.00644083361906275,,<1 year,Male
0,2021,-4.72074810991409,0.0675032841484211,-5.33225626353935,0.00555891961544116,0.00694985602201135,0.00621560061178731,,<1 year,Male
0,1987,-4.72074810991409,0.0675032841484211,3.85296459142042,,,0.0115547306441897,0.012006199,<1 year,Male
0,1998,-4.72074810991409,0.0675032841484211,-0.190977183291415,,,0.00879440375271151,0.008413971,<1 year,Male
0,2016,-4.72074810991409,0.0675032841484211,-4.29397108946489,,,0.00666686689370617,0.0064607,<1 year,Male
0,2000,-4.72074810991409,0.0675032841484211,-0.846994364568031,,,0.0084134554857207,0.008169971,<1 year,Male
0,2027,-4.72074810991409,0.0675032841484211,-6.99940502405602,0.0045317051129101,0.00680699263458758,0.00555403306847393,,<1 year,Male
0,2002,-4.72074810991409,0.0675032841484211,-1.24608115668517,,,0.00818982556150272,0.008141808,<1 year,Male
0,2004,-4.72074810991409,0.0675032841484211,-2.01980358498741,,,0.00777305910221899,0.007971947,<1 year,Male
0,2022,-4.72074810991409,0.0675032841484211,-5.60675027377844,0.00535323929816477,0.00695432918801418,0.00610149066226048,,<1 year,Male
0,1981,-4.72074810991409,0.0675032841484211,5.25479297790131,,,0.0127015362738865,0.013539178,<1 year,Male
0,2033,-4.72074810991409,0.0675032841484211,-8.67581557300445,0.00380128804704296,0.00647133407611255,0.00495977871199395,,<1 year,Male
0,1983,-4.72074810991409,0.0675032841484211,4.20496620956838,,,0.0118325735409765,0.012462827,<1 year,Male
0,2010,-4.72074810991409,0.0675032841484211,-4.49439690775719,,,0.006577275603178,0.006773292,<1 year,Male
0,1985,-4.72074810991409,0.0675032841484211,3.97999257782173,,,0.0116542362317301,0.012401949,<1 year,Male
0,2003,-4.72074810991409,0.0675032841484211,-1.45490784657269,,,0.00807518768280366,0.008174804,<1 year,Male
0,2039,-4.72074810991409,0.0675032841484211,-10.3523410096304,0.00322751436590978,0.00607795329238244,0.00442907231443481,,<1 year,Male
0,2023,-4.72074810991409,0.0675032841484211,-5.88380082365397,0.00516478361236586,0.00694345419758418,0.00598844207226685,,<1 year,Male
0,2007,-4.72074810991409,0.0675032841484211,-2.85982942386558,,,0.00734455550306261,0.007800072,<1 year,Male
0,2018,-4.72074810991409,0.0675032841484211,-4.56975730718853,0.0063105208804437,0.00678591312773556,0.00654390147278,,<1 year,Male
0,1993,-4.72074810991409,0.0675032841484211,2.42392715011471,,,0.0104921799417844,0.009458006,<1 year,Male
0,2020,-4.72074810991409,0.0675032841484211,-5.06307586031265,0.0057854365985665,0.00692488892762629,0.00632957390689903,,<1 year,Male
0,2029,-4.72074810991409,0.0675032841484211,-7.55815679268127,0.00426562559955068,0.00670614771122452,0.00534844980824982,,<1 year,Male
0,1988,-4.72074810991409,0.0675032841484211,3.76117128592705,,,0.0114833548568098,0.011942807,<1 year,Male
0,1999,-4.72074810991409,0.0675032841484211,-0.49770537692035,,,0.0086141863655242,0.008325604,<1 year,Male
0,1990,-4.72074810991409,0.0675032841484211,3.01722215211802,,,0.0109209129831924,0.01080464,<1 year,Male
0,2001,-4.72074810991409,0.0675032841484211,-0.924618542575924,,,0.00836948523034892,0.00794812,<1 year,Male
0,2028,-4.72074810991409,0.0675032841484211,-7.27876505209512,0.00439533814972175,0.00675841759582626,0.00545027803792485,,<1 year,Male
0,1994,-4.72074810991409,0.0675032841484211,2.17231291758589,,,0.0103154773756294,0.009055006,<1 year,Male
0,2005,-4.72074810991409,0.0675032841484211,-1.94241325819284,,,0.0078137726028885,0.008158387,<1 year,Male
0,2030,-4.72074810991409,0.0675032841484211,-7.8375637911484,0.00414188050577778,0.0066508311627025,0.00524851864243778,,<1 year,Male
0,1989,-4.72074810991409,0.0675032841484211,3.54717890522353,,,0.0113186679618055,0.011766965,<1 year,Male
0,2034,-4.72074810991409,0.0675032841484211,-8.95523596146831,0.00369664368211391,0.00640816762196206,0.00486710513073767,,<1 year,Male
0,1991,-4.72074810991409,0.0675032841484211,2.76001935843787,,,0.0107329402450092,0.010188978,<1 year,Male
